epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4489,1.46333,3.7303,1.66982,0.00722,0.55253,0.01471,0.00377,1.44405,4.20751,2.04112,3.333e-05,3.333e-05,3.333e-05
2,50.8249,1.41426,3.64161,1.58938,0.00864,0.67633,0.04967,0.02426,1.30298,4.06975,1.77462,7.39204e-05,7.39204e-05,7.39204e-05
3,72.8315,1.26323,3.50616,1.46318,0.00892,0.78903,0.16084,0.1038,1.23257,3.86121,1.46854,0.000110111,0.000110111,0.000110111
4,96.5697,1.13746,3.27053,1.29613,0.00855,0.87071,0.2373,0.14385,1.09213,3.71027,1.26609,0.000141902,0.000141902,0.000141902
